yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact,t
0.29726199999999997,0.6868210000000001,-0.3775223333333333,8.532581333333333,8.453733,7.237700666666666,7.3412793333333335,0.0
0.3076446666666667,0.6857163333333333,-0.37272533333333335,8.548516999999999,8.577357,7.138560333333333,7.1649069999999995,0.006
0.3163896666666667,0.6848763333333334,-0.3697276666666667,8.605148999999999,8.529498666666667,7.112111666666667,7.215510666666667,0.012
0.32506000000000007,0.6830283333333332,-0.36594433333333337,8.938157666666667,7.612844666666667,6.171957,7.958354333333332,0.018000000000000002
0.33547666666666665,0.6814646666666667,-0.36689599999999994,8.971707,7.234703666666667,6.403631999999999,9.494778666666667,0.024
0.346598,0.6840243333333333,-0.3806513333333333,8.953163,7.090547666666667,6.341578000000001,9.692168666666667,0.03
0.3520716666666666,0.6845246666666666,-0.38434799999999997,10.626819666666668,6.089772333333333,4.680999333333333,10.756064,0.036000000000000004
0.36394433333333337,0.6955243333333333,-0.390499,10.804214666666667,6.346126333333333,4.083902,9.428726333333332,0.042
0.37183099999999997,0.7089593333333334,-0.4243693333333334,11.143871666666668,6.7232726666666665,3.6692826666666662,9.169260333333334,0.048
0.40046866666666664,0.7315566666666666,-0.5225153333333333,10.422196666666666,2.4468433333333333,0.8505576666666667,8.240047,0.054
0.37228733333333336,0.738219,-0.9143296666666666,10.166142,1.909997,0.7677943333333334,8.690079333333335,0.06
0.345129,0.7291179999999998,-1.2544116666666667,9.873514,1.773264,0.554519,8.919078666666666,0.066
0.2296313333333333,0.7111936666666666,-2.0164663333333332,9.063660999999998,0.9836526666666666,0.468123,8.709630333333333,0.07200000000000001
0.1651443333333333,0.6979566666666668,-2.4469736666666666,9.422540666666666,0.6357226666666667,0.5150066666666666,8.536983000000001,0.078
0.016416999999999946,0.6691386666666667,-3.326017333333333,10.704808,0.5641543333333333,0.53843,8.356533999999998,0.084
-0.06112899999999998,0.6394273333333335,-3.822191,10.677068,0.936819,0.422538,7.631984333333333,0.09
-0.1997116666666667,0.5906856666666666,-4.731250666666667,9.554443000000001,0.6678093333333334,0.144334,6.151849333333334,0.096
-0.30359766666666665,0.5197539999999999,-5.433848666666667,9.365492,0.542534,0.050523000000000005,6.169014333333333,0.10200000000000001
-0.3793766666666667,0.4220973333333333,-5.992573333333333,9.446258666666667,0.0,0.5849526666666667,6.109726333333334,0.108
-0.48697666666666667,0.2992390000000001,-6.6447433333333334,9.440545,0.0,0.6053476666666667,6.144628,0.114
-0.60791,0.10391533333333332,-7.339907666666665,9.441318,0.0,0.242429,6.231975333333334,0.12
-0.7229836666666666,-0.09245533333333333,-7.856208000000001,9.337387666666666,0.0,7.7357586666666664,6.259314333333333,0.126
-0.8509586666666666,-0.30273733333333336,-8.336684,9.266011666666666,0.0,7.741213333333334,6.286453333333333,0.132
-0.9746813333333333,-0.4939476666666667,-8.629162333333333,9.223298666666667,0.0,7.247762666666667,6.319639333333332,0.138
-1.0989803333333332,-0.667423,-8.797906333333334,7.170347333333333,0.0,3.9070923333333334,6.283511666666667,0.14400000000000002
-1.2140883333333332,-0.7926129999999999,-8.813626666666666,6.388860666666666,0.0,3.634916666666667,6.263238,0.15
-1.31751,-0.8726686666666666,-8.681108666666667,6.610855000000001,0.0,3.5657296666666674,6.240258333333333,0.156
-1.4111956666666667,-0.916074,-8.410582666666665,6.49918,0.0,3.4579003333333334,6.241832333333334,0.162
-1.4620976666666665,-0.9324896666666667,-8.131046,6.220185666666667,0.0,3.2284463333333338,10.253764000000002,0.168
-1.582009666666667,-0.918308,-7.485326000000001,6.124406666666666,0.0,3.2145116666666667,10.159012666666667,0.17400000000000002
-1.6271786666666668,-0.8984263333333334,-7.069634999999999,6.132945333333335,0.0,3.0781096666666667,10.214467333333333,0.18
-1.7103256666666666,-0.8464283333333333,-6.413266333333333,6.145178666666666,0.0,3.009494,10.261056666666667,0.186
-1.7906396666666666,-0.7728583333333333,-5.698773666666667,6.161385333333333,0.0,3.0158679999999998,10.403442333333333,0.192
-1.864533333333333,-0.6780003333333333,-4.9561296666666665,6.143870666666667,0.0,3.0070103333333336,10.462505,0.198
-1.9352363333333338,-0.565044,-4.231626,6.117255666666668,0.0,3.0154789999999996,10.682941,0.20400000000000001
-2.004115,-0.43742833333333336,-3.5532990000000004,6.100935,9.441376,3.053255,8.976314333333335,0.21
-2.068641,-0.3239786666666667,-3.048885,6.084195333333334,3.5859133333333335,3.0498473333333336,8.924075666666667,0.216
-2.1068363333333333,-0.24726533333333336,-2.7027810000000003,6.0815893333333335,3.355249,3.0422550000000004,9.054854333333333,0.222
-2.1293919999999997,-0.19715666666666667,-2.4650813333333335,6.064982666666666,3.1570543333333334,3.056514,9.114827666666669,0.228
-2.1108306666666663,-0.15717133333333333,-2.300335,6.071162,3.014629,3.067998,9.10827,0.234
-2.0807836666666666,-0.12644833333333336,-2.1789609999999997,6.083322,2.9111576666666665,3.137282666666667,9.010152666666666,0.24
-2.039803333333333,-0.08655233333333334,-2.0616233333333334,6.088951333333334,2.7185976666666662,3.1407736666666666,9.029287333333334,0.246
-1.976583,-0.034778666666666735,-1.9592943333333335,6.099093,2.6508983333333336,3.1514866666666665,9.377141666666667,0.252
-1.9155123333333337,0.02350299999999998,-1.8645636666666665,6.097848666666667,2.7039853333333332,3.167548666666667,9.348957333333333,0.258
-1.831644,0.10660066666666668,-1.7518726666666666,6.092403666666667,2.632978666666667,3.185192333333333,9.276709333333335,0.264
