yaw,pitch,roll,fl_contact, fr_contact, rl_contact, rr_contact,t
0.04293599999999994,-4.529949333333334,0.6381306666666667,5.738283,2.8078016666666668,4.153536,6.155551,4.008
0.11245800000000002,-4.593948666666667,0.6835946666666666,5.755975666666667,2.7891133333333333,4.097386,6.335873333333333,4.014
0.17316600000000001,-4.6924893333333335,0.7374996666666669,5.691060666666668,3.1106979999999997,4.415422,6.361198999999999,4.0200000000000005
0.18338433333333334,-4.810296999999999,0.7822846666666666,5.641574333333334,2.7388286666666666,4.897699666666667,6.484733666666666,4.026
0.16971466666666665,-4.927075666666667,0.8220413333333335,5.561959666666667,2.711885666666667,5.1982729999999995,6.825930666666667,4.032
0.17384233333333332,-4.989533000000001,0.8450183333333333,5.567325666666666,2.9977956666666667,5.345486666666666,6.502345666666667,4.038
0.19901566666666667,-4.994822666666667,0.8510653333333335,5.6343923333333334,3.047076333333333,4.696731,6.463105333333334,4.0440000000000005
0.23371533333333336,-4.973868333333333,0.8593646666666666,5.616308666666666,3.226609,4.536379666666666,6.357222333333333,4.05
0.28425,-4.9466003333333335,0.8739970000000002,5.597264666666667,3.232568333333333,4.434918666666667,6.282022666666667,4.056
0.31194066666666664,-4.914679666666667,0.8939659999999998,5.587862666666666,3.3563183333333337,4.443095666666667,6.241514,4.062
0.32883766666666664,-4.891736666666667,0.917817,5.697457,3.6854446666666667,4.5444016666666665,6.1744753333333335,4.0680000000000005
0.3069589999999999,-4.920835666666666,0.9504796666666667,5.642794333333334,3.6607183333333335,4.721690333333334,6.251602000000001,4.074
0.2778753333333333,-4.974602666666667,0.9805959999999999,5.677266666666665,3.6285286666666665,3.9052286666666665,6.4137683333333335,4.08
0.23201633333333335,-5.044197666666666,1.018243,5.596288333333334,3.5182029999999997,3.9077936666666666,6.4443633333333326,4.086
0.17767066666666664,-5.116808666666667,1.0614453333333334,5.551289333333334,3.451568,3.970183333333333,6.503046333333333,4.0920000000000005
0.1273936666666667,-5.175315,1.1055396666666666,5.206746333333333,3.2600573333333336,4.057759333333333,6.713956666666667,4.098
0.11952199999999998,-5.1710053333333335,1.1426833333333335,5.3866510000000005,3.2189836666666665,4.087514,6.751522666666666,4.104
0.17053300000000002,-5.091723666666667,1.157166,5.5078000000000005,3.130036666666667,4.058598333333333,6.742595000000001,4.11
0.2386383333333333,-5.000327333333334,1.1725990000000002,5.6030793333333335,2.9919466666666668,3.5200069999999997,6.793461333333333,4.116
0.27271799999999996,-4.9198303333333335,1.2117013333333333,5.614889666666667,2.9599473333333335,3.46285,6.842033333333333,4.122
