name,gait frequency,speed
walk_s,1,0.08329816299784534
walk_s,2,0.17928858290304073
walk_s,3,0.19058267476431276
walk_ns,1,0.23555276381909546
walk_ns,2,0.3476084538375973
walk_ns,3,0.33999728002175983
trot_s,1,0.1733502831387958
trot_s,2,0.26444765699375905
trot_s,3,0.36156775779781125
trot_ns,1,0.2723806065008172
trot_ns,2,0.3093038601121742
trot_ns,3,0.23460227094998282
gallop_s,2,0.8347245409015026
gallop_s,3,1.756029033013346
gallop_s,4,2.4606299212598426
gallop_ns,2,1.17407639323732
gallop_ns,3,1.4922403501790689
gallop_ns,4,1.7609767551068325
