gait_frequencies,walk_Spine,trot_Spine,walk_NoSpine,trot_NoSpine
1,0.014092499551408578,0.026166955420803623,0.04013157894736842,0.05237928504735228
2,0.029821347205346297,0.03187657277376411,0.057939874585023976,0.05773118200529256
3,0.03640377306016501,0.03844788759974544,0.05976069091462487,0.05749030085645269
