name,gait frequency,speed
walk_s,1,0.077441737999112
walk_s,2,0.16358044886475168
walk_s,3,0.17137373183438445
walk_ns,1,0.32349896480331264
walk_ns,2,0.4876462938881665
walk_ns,3,0.4754056795131846
trot_s,1,0.16174250593055853
trot_s,2,0.24384692915433884
trot_s,3,0.32391811350090693
trot_ns,1,0.2897542883634678
trot_ns,2,0.36646144825564353
trot_ns,3,0.46057479734708917
gallop_s,2,0.6823764898553362
gallop_s,3,1.2419274714356683
gallop_s,4,1.1597340343281273
gallop_ns,2,0.8077544426494345
gallop_ns,3,1.4848544842605425
gallop_ns,4,1.8315018315018317
