gait_frequencies,gait_frequencies_gallop,walk_s,walk_ns,trot_s,trot_ns,gallop_s,gallop_ns
1,2,0.08329816299784534,0.23555276381909546,0.1733502831387958,0.2723806065008172,0.8347245409015026,1.17407639323732
2,3,0.17928858290304073,0.3476084538375973,0.26444765699375905,0.3093038601121742,1.756029033013346,1.4922403501790689
3,4,0.19058267476431276,0.33999728002175983,0.36156775779781125,0.23460227094998282,2.4606299212598426,1.7609767551068325
