gait_frequencies,gait_frequencies_gallop,walk_Spine,trot_Spine,gallop_Spine,walk_NoSpine,trot_NoSpine,gallop_NoSpine
1,2,0.09867771857114661,0.18399941120188415,0.5283178360101437,0.24674299249901305,0.3278258589037503,1.285347043701799
2,3,0.19875973922722215,0.2485830764641543,0.9187798603454612,0.3704801422643746,0.36786344908769864,1.810604732690624
3,4,0.24823751365306326,0.33266799733865604,1.2013455069678036,0.3710299792223211,0.3726893261776983,2.292576419213974
