gait_frequencies,gait_frequencies_gallop,walk_Spine,trot_Spine,gallop_Spine,walk_NoSpine,trot_NoSpine,gallop_NoSpine
1,2,0.09639111659469464,0.15052986512524083,0.38115566397316664,0.22311468094600626,0.254841997961264,0.8771929824561402
2,3,0.1680220444922374,0.23882307986243792,0.607976653696498,0.34288849266218624,0.35991937805931473,1.205400192864031
3,4,0.20406497428781326,0.30990454939878515,0.8989572096368212,0.33815771675909645,0.3628973726230222,2.0226537216828477
