gait_frequencies,gait_frequencies_gallop,walk_Spine,trot_Spine,gallop_Spine,walk_NoSpine,trot_NoSpine,gallop_NoSpine
1,2,0.07582190949896882,0.12887262230011856,0.29147720648245307,0.15364759387867985,0.23877745940783188,0.292192613370734
2,3,0.14545877698260312,0.2348961758902565,0.3453038674033149,0.27346313716910964,0.368840365889643,1.2703252032520325
3,4,0.1804272517321016,0.28383287920072664,0.63403499873193,0.27304499781564,0.3492595697122101,0.9541984732824427
